Frame,Mean
0,0.007840
1,0.007419
2,0.009046
3,0.000395
4,0.005635
5,0.012439
6,-0.003088
7,0.007395
8,0.015372
9,-0.001546
10,0.000426
11,-0.009850
12,0.001866
13,-0.003937
14,-0.004469
15,-0.018275
16,0.005460
17,0.001116
18,-0.008727
19,-0.004358
20,-0.008901
21,-0.002453
22,-0.014113
23,-0.008889
24,-0.009776
25,-0.007171
26,-0.006702
27,-0.015146
28,-0.006720
29,-0.015644
30,-0.012809
31,-0.011189
32,-0.012546
33,-0.012588
34,-0.019343
35,-0.001275
36,-0.022246
37,-0.022381
38,-0.020067
39,-0.009501
40,-0.012850
41,-0.017175
42,-0.022280
43,-0.025919
44,-0.032554
45,-0.008886
46,-0.016468
47,-0.023171
48,-0.018548
49,-0.029222
50,-0.024417
51,-0.014714
52,-0.029058
53,-0.030543
54,-0.035176
55,-0.031309
56,-0.021373
57,-0.030543
58,-0.022951
59,-0.016592
60,-0.038592
61,-0.022054
62,-0.034520
63,-0.036519
64,-0.025940
65,-0.021731
66,-0.019293
67,-0.032128
68,-0.031149
69,-0.021167
70,-0.019621
71,-0.021635
72,-0.028716
73,-0.024358
74,-0.030208
75,-0.016088
76,-0.027173
77,-0.031133
78,-0.025075
79,-0.028103
80,-0.031172
81,-0.036399
82,-0.034386
83,-0.035110
84,-0.030380
85,-0.048016
86,-0.022634
87,-0.036626
88,-0.026766
89,-0.034533
90,-0.038388
91,-0.026657
92,-0.033264
93,-0.036270
94,-0.030994
95,-0.037858
96,-0.022430
97,-0.020157
98,-0.027896
99,-0.023313
100,-0.016381
101,-0.024492
102,-0.029437
103,-0.033551
104,-0.026863
105,-0.028756
106,-0.026859
107,-0.030087
108,-0.013755
109,-0.024461
110,-0.025450
111,-0.029950
112,-0.034145
113,-0.028173
114,-0.025760
115,-0.027160
116,-0.030489
117,-0.023427
118,-0.026574
119,-0.022877
120,-0.030029
121,-0.027837
122,-0.033689
123,-0.032171
124,-0.029332
125,-0.017283
126,-0.025528
127,-0.024568
128,-0.027757
129,-0.023938
130,-0.023803
131,-0.031881
132,-0.015497
133,-0.028692
134,-0.015509
135,-0.032898
136,-0.026574
137,-0.016032
138,-0.026386
139,-0.021206
140,-0.020531
141,-0.017820
142,-0.019078
143,-0.008149
144,-0.001628
145,-0.014345
146,-0.023711
147,-0.026361
148,-0.011909
149,-0.025878
150,-0.023579
151,-0.020524
152,-0.017526
153,-0.016331
154,-0.011470
155,-0.016270
156,-0.010948
157,-0.016691
158,-0.021562
159,-0.001764
160,-0.014466
161,-0.015463
162,-0.015819
163,-0.019576
164,-0.022863
165,-0.015044
166,-0.010747
167,-0.004209
168,-0.004317
169,-0.015653
170,-0.011707
171,-0.008190
172,-0.012539
173,-0.003621
174,-0.014443
175,-0.005078
176,-0.000214
177,-0.013195
178,-0.009095
179,-0.000107
180,-0.013031
181,-0.014817
182,0.002253
183,-0.003206
184,-0.001645
185,-0.001118
186,-0.007780
187,0.010499
188,0.006551
189,0.002491
190,0.001600
191,0.011628
192,0.001387
193,0.004238
194,0.016519
195,0.003006
196,0.012699
197,0.008392
198,0.005775
199,0.005965
200,0.006310
201,0.007834
202,0.013693
203,0.007657
204,0.014754
205,0.018587
206,0.010506
207,0.014209
208,0.014126
209,0.014949
210,0.020577
211,0.015750
212,0.023710
213,0.014991
214,0.019520
215,0.025061
216,0.025352
217,0.020124
218,0.010957
219,0.013377
220,0.023222
221,0.026693
222,0.027161
223,0.025042
224,0.023924
225,0.025606
226,0.030300
227,0.024660
228,0.034336
229,0.037456
230,0.018043
231,0.032211
232,0.034091
233,0.026983
234,0.027554
235,0.023833
236,0.029428
237,0.030119
238,0.040163
239,0.038673
240,0.020843
241,0.028966
242,0.027892
243,0.029188
244,0.042307
245,0.034616
246,0.032325
247,0.043916
248,0.040367
249,0.039739
250,0.040332
251,0.046313
252,0.040860
253,0.040574
254,0.041849
255,0.042823
256,0.043684
257,0.046313
258,0.042188
259,0.043014
260,0.048963
261,0.049701
262,0.051976
263,0.055721
264,0.057979
265,0.049213
266,0.041412
267,0.054377
268,0.054044
269,0.057139
270,0.052218
271,0.062619
272,0.053862
273,0.055470
274,0.047973
275,0.061093
276,0.055437
277,0.058950
278,0.053663
279,0.056337
280,0.060475
281,0.051008
282,0.067242
283,0.060343
284,0.065919
285,0.069310
286,0.065723
287,0.067811
288,0.073554
289,0.073354
290,0.065735
291,0.072788
292,0.075131
293,0.065403
294,0.077660
295,0.072885
296,0.073309
297,0.080565
298,0.064924
299,0.064470
300,0.075645
301,0.091810
302,0.085234
303,0.070449
304,0.075165
305,0.089856
306,0.085646
307,0.087622
308,0.086008
309,0.084865
310,0.090834
311,0.085049
312,0.089237
313,0.080341
314,0.084773
315,0.083952
316,0.080078
317,0.080700
318,0.092304
319,0.086115
320,0.093431
321,0.088853
322,0.077651
323,0.082972
324,0.086467
325,0.078889
326,0.087532
327,0.081789
328,0.088595
329,0.085314
330,0.084288
331,0.090734
332,0.083939
333,0.093146
334,0.100483
335,0.097685
336,0.088743
337,0.093888
338,0.100784
339,0.086614
340,0.087395
341,0.109101
342,0.103278
343,0.112986
344,0.104916
345,0.099416
346,0.097793
347,0.091568
348,0.110603
349,0.110042
350,0.093470
351,0.101154
352,0.102816
353,0.101449
354,0.100726
355,0.111019
356,0.111827
357,0.099932
358,0.101061
359,0.109588
360,0.104006
361,0.106049
362,0.109923
363,0.106758
364,0.095567
365,0.108238
366,0.104701
367,0.117458
368,0.107242
369,0.112108
370,0.113118
371,0.105757
372,0.115766
373,0.112922
374,0.113577
375,0.110894
376,0.110790
377,0.111101
378,0.117194
379,0.114446
380,0.119369
381,0.125071
382,0.117143
383,0.120738
384,0.121878
385,0.124094
386,0.115201
387,0.126787
388,0.117644
389,0.119653
390,0.122636
391,0.122531
392,0.130003
393,0.131804
394,0.121482
395,0.136437
396,0.131518
397,0.136221
398,0.122843
399,0.128202
400,0.120702
401,0.126678
402,0.124951
403,0.124889
404,0.120135
405,0.125006
406,0.127677
407,0.125825
408,0.127688
409,0.128862
410,0.129735
411,0.132536
412,0.118030
413,0.132937
414,0.131381
415,0.125263
416,0.128946
417,0.133288
418,0.139278
419,0.131343
420,0.129051
421,0.139321
422,0.132073
423,0.133312
424,0.135768
425,0.142674
426,0.140524
427,0.131889
428,0.131062
429,0.131846
430,0.139792
431,0.130048
432,0.137415
433,0.132117
434,0.134316
435,0.141159
436,0.125776
437,0.132410
438,0.133265
439,0.133124
440,0.128426
441,0.126675
442,0.133152
443,0.128564
444,0.140386
445,0.120821
446,0.122030
447,0.132804
448,0.134903
449,0.140199
450,0.128876
451,0.141974
452,0.138698
453,0.142017
454,0.129457
455,0.141446
456,0.124561
457,0.124054
458,0.127516
459,0.129353
460,0.138800
461,0.133771
462,0.142250
463,0.127040
464,0.134821
465,0.136707
466,0.134062
467,0.128978
468,0.137983
469,0.153839
470,0.139836
471,0.147298
472,0.133822
473,0.128020
474,0.126020
475,0.138543
476,0.145639
477,0.158364
478,0.140578
479,0.134428
480,0.154408
481,0.141824
482,0.134431
483,0.135944
484,0.153807
485,0.143964
486,0.143736
487,0.134852
488,0.135461
489,0.124237
490,0.146754
491,0.135653
492,0.144368
493,0.149064
494,0.143598
495,0.142568
496,0.149034
497,0.133805
498,0.135952
499,0.135954
500,0.143258
501,0.145823
502,0.134222
503,0.133002
504,0.142442
505,0.154195
506,0.135570
507,0.138416
508,0.150478
509,0.135590
510,0.138650
511,0.132441
512,0.144327
513,0.151346
514,0.142955
515,0.149242
516,0.140431
517,0.141625
518,0.146298
519,0.146648
520,0.148524
521,0.146755
522,0.150648
523,0.142529
524,0.140637
525,0.138171
526,0.136784
527,0.132250
528,0.136891
529,0.135820
530,0.136330
531,0.129779
532,0.141244
533,0.140708
534,0.147448
535,0.140885
536,0.141716
537,0.138941
538,0.150776
539,0.140454
540,0.142662
541,0.148169
542,0.135371
543,0.137373
544,0.143063
545,0.140945
546,0.135858
547,0.132962
548,0.138818
549,0.145165
550,0.139919
551,0.147070
552,0.132666
553,0.143630
554,0.129001
555,0.136284
556,0.141485
557,0.139891
558,0.139024
559,0.140952
560,0.135327
561,0.129927
562,0.119015
563,0.136510
564,0.127640
565,0.136038
566,0.128938
567,0.132595
568,0.128058
569,0.123827
570,0.134567
571,0.123801
572,0.131948
573,0.138377
574,0.138095
575,0.126365
576,0.135333
577,0.132714
578,0.142396
579,0.128021
580,0.126450
581,0.131920
582,0.127566
583,0.131901
584,0.135199
585,0.129945
586,0.126159
587,0.135542
588,0.119819
589,0.131884
590,0.129305
591,0.120678
592,0.128793
593,0.126757
594,0.124906
595,0.135137
596,0.136074
597,0.138612
598,0.128924
599,0.125229
600,0.123069
601,0.120710
602,0.126836
603,0.132389
604,0.127749
605,0.115047
606,0.136457
607,0.123297
608,0.126884
609,0.125873
610,0.123548
611,0.123340
612,0.130365
613,0.123022
614,0.127945
615,0.122055
616,0.131999
617,0.122225
618,0.134201
619,0.127463
620,0.121983
621,0.132507
622,0.113916
623,0.134745
624,0.114148
625,0.125177
626,0.123508
627,0.124397
628,0.134936
629,0.117522
630,0.116438
631,0.129676
632,0.116916
633,0.124236
634,0.132820
635,0.124969
636,0.129062
637,0.116374
638,0.125083
639,0.127237
640,0.130189
641,0.118389
642,0.134423
643,0.114811
