frame,epoch time,sensor T,target T,drive T,df/f,time_s,sensor TF
0,2021-12-20 12:30:26.097498112,20.9904347826087,22.0,15.425217391304347,0.005721,0.0,21.00458562445461
1,2021-12-20 12:30:26.199871232,20.98,22.0,15.444489795918367,-0.005377,0.10237312000000001,20.999492600062354
2,2021-12-20 12:30:26.312373248,20.946666666666665,22.0,15.464444444444446,-0.000262,0.21487513600000002,20.994420760368453
3,2021-12-20 12:30:26.455663616,20.959591836734692,22.0,15.525918367346938,-0.009305,0.358165504,20.98937478571025
4,2021-12-20 12:30:26.560299776,21.00526315789474,22.0,15.73,-0.002757,0.462801664,20.98435933926087
5,2021-12-20 12:30:26.616576000,20.98,22.0,15.5275,-0.003408,0.519077888,20.97937905967494
6,2021-12-20 12:30:26.698057984,20.969795918367346,22.0,15.552448979591837,-0.003426,0.600559872,20.974438553804276
7,2021-12-20 12:30:26.798640896,20.95826086956522,22.0,15.57217391304348,-0.002487,0.7011427840000001,20.96954238950076
8,2021-12-20 12:30:26.907753216,20.928979591836736,22.0,15.591632653061225,0.005865,0.8102551040000001,20.964695088523285
9,2021-12-20 12:30:27.007068672,20.837142857142858,22.0,15.61057142857143,-0.000329,0.9095705600000001,20.959901119565167
10,2021-12-20 12:30:27.097774336,20.811632653061224,22.0,15.64530612244898,-0.006099,1.000276224,20.955164891417997
11,2021-12-20 12:30:27.200157440,20.813333333333333,22.0,15.880833333333335,0.001866,1.102659328,20.950490746287265
12,2021-12-20 12:30:27.314761728,20.81888888888889,22.0,15.891111111111112,0.008167,1.217263616,20.94588295327458
13,2021-12-20 12:30:27.457026048,20.857551020408163,22.0,15.710204081632652,-0.006227,1.359527936,20.941345702040543
14,2021-12-20 12:30:27.543396608,20.82375,22.0,15.95,0.013401,1.445898496,20.9368830966617
15,2021-12-20 12:30:27.601111040,20.813333333333333,22.0,15.971333333333334,0.007696,1.5036129280000001,20.932499149694213
16,2021-12-20 12:30:27.701754112,20.79122448979592,22.0,16.00081632653061,0.008667,1.6042560000000001,20.928197776456077
17,2021-12-20 12:30:27.809488384,20.809545454545454,22.0,16.020681818181817,0.006839,1.7119902720000002,20.923982789538925
18,2021-12-20 12:30:27.937590784,20.79122448979592,22.0,16.050408163265306,0.003399,1.8400926720000002,20.919857893559623
19,2021-12-20 12:30:28.025761536,20.896666666666665,22.0,16.072,0.013978,1.928263424,20.915826680160947
20,2021-12-20 12:30:28.095938304,20.83204081632653,22.0,16.100408163265307,0.010882,1.9984401920000001,20.91189262326982
21,2021-12-20 12:30:28.201359104,20.842244897959183,22.0,16.12061224489796,0.014682,2.103860992,20.90805907462067
22,2021-12-20 12:30:28.320328448,20.855,22.0,16.145454545454545,0.017898,2.222830336,20.904329259550558
23,2021-12-20 12:30:28.464363264,20.855,22.0,15.949999999999998,0.014539,2.366865152,20.900706273072014
24,2021-12-20 12:30:28.552041216,20.88625,22.0,16.2,0.021284,2.454543104,20.897193076228476
25,2021-12-20 12:30:28.604364288,20.8425,22.0,16.22,0.024273,2.506866176,20.89379249273648
26,2021-12-20 12:30:28.698751232,20.944285714285712,22.0,16.24,0.02554,2.60125312,20.89050720591794
27,2021-12-20 12:30:28.804282880,20.979555555555557,22.0,16.04,0.024467,2.706784768,20.887339755924934
28,2021-12-20 12:30:28.930594816,20.872448979591837,22.0,16.29,0.026134,2.833096704,20.88429253725877
29,2021-12-20 12:30:29.021471488,20.882777777777775,22.0,16.32,0.016457,2.9239733759999997,20.881367796584282
30,2021-12-20 12:30:29.095792128,20.867755102040817,22.0,16.114285714285714,0.019786,2.9982940159999996,20.878567630839537
31,2021-12-20 12:30:29.201222912,20.883061224489797,22.0,16.35938775510204,0.022903,3.1037247999999997,20.875893985640474
32,2021-12-20 12:30:29.307850752,20.931219512195124,22.0,16.16512195121951,0.024372,3.2103526399999995,20.873348653979274
33,2021-12-20 12:30:29.432774656,20.867755102040817,22.0,16.17877551020408,0.027725,3.3352765439999996,20.8709332752146
34,2021-12-20 12:30:29.525109760,20.822105263157894,22.0,16.195789473684208,0.025503,3.4276116479999996,20.868649334351197
35,2021-12-20 12:30:29.598525184,20.86265306122449,22.0,16.227551020408164,0.027371,3.5010270719999994,20.866498161605673
36,2021-12-20 12:30:29.697026048,20.834651162790696,22.0,16.24813953488372,0.03549,3.5995279359999994,20.86448093225471
37,2021-12-20 12:30:29.818429440,20.870625,22.0,16.267916666666668,0.022782,3.7209313279999994,20.86259866676134
