Frame,Mean
0,-0.019719
1,-0.013661
2,-0.013002
3,-0.010172
4,-0.011221
5,-0.011897
6,-0.004177
7,-0.000506
8,-0.001771
9,0.000253
10,-0.000483
11,0.006568
12,0.008152
13,0.008404
14,0.011336
15,0.011753
16,0.010188
17,0.013083
18,0.018183
19,0.017389
20,0.024908
21,0.018142
22,0.024389
23,0.025028
24,0.028247
25,0.021181
26,0.024632
27,0.021688
28,0.021219
29,0.018558
30,0.021993
31,0.021346
32,0.032049
33,0.025265
34,0.028199
35,0.028938
36,0.030637
37,0.023949
38,0.030625
39,0.027579
40,0.028910
41,0.033350
42,0.029531
43,0.031738
44,0.033173
45,0.031643
46,0.030690
47,0.026441
48,0.032456
49,0.032990
50,0.037469
51,0.030656
52,0.028881
53,0.034160
54,0.031540
55,0.030094
56,0.028749
57,0.025258
58,0.027542
59,0.021121
60,0.019936
61,0.018252
62,0.014132
63,0.014985
64,0.021809
65,0.020230
66,0.017613
67,0.020281
68,0.019494
69,0.024276
70,0.026346
71,0.022430
72,0.015642
73,0.020014
74,0.016900
75,0.016837
76,0.018671
77,0.015838
78,0.021391
79,0.015998
80,0.015971
81,0.019582
82,0.017277
83,0.013782
84,0.013308
85,0.017356
86,0.012743
87,0.013121
88,0.012692
89,0.004508
90,0.011233
91,0.010155
92,0.010845
93,0.005791
94,0.007945
95,0.004594
96,-0.000161
97,0.000917
98,-0.000824
99,-0.000766
100,-0.002845
101,-0.005614
102,-0.001358
103,-0.010322
104,-0.006239
105,-0.000498
106,-0.005804
107,-0.010385
108,-0.013601
109,-0.009359
110,-0.014876
111,-0.008585
112,-0.013709
113,-0.016751
114,-0.009507
115,-0.010264
116,-0.016707
117,-0.020047
118,-0.013280
119,-0.015728
120,-0.019947
121,-0.010459
122,-0.026041
123,-0.020594
124,-0.023777
125,-0.023510
126,-0.026365
127,-0.027245
128,-0.019549
129,-0.023701
130,-0.026610
131,-0.023692
132,-0.023502
133,-0.022544
134,-0.024764
135,-0.025704
136,-0.030312
137,-0.023967
138,-0.027180
139,-0.028762
140,-0.031261
141,-0.029903
142,-0.028672
143,-0.030027
144,-0.029205
145,-0.036128
146,-0.033932
147,-0.043814
148,-0.037833
149,-0.039880
150,-0.036866
151,-0.043417
152,-0.038606
153,-0.035693
154,-0.036079
155,-0.033044
156,-0.031564
157,-0.029392
158,-0.034169
159,-0.033183
160,-0.029772
161,-0.033908
162,-0.030187
163,-0.028822
164,-0.021004
165,-0.025278
166,-0.025565
167,-0.032735
168,-0.024664
169,-0.027262
170,-0.027114
171,-0.027201
172,-0.028537
173,-0.032718
174,-0.036569
175,-0.031035
176,-0.034126
177,-0.035184
178,-0.036226
179,-0.033939
180,-0.030873
181,-0.034813
182,-0.035586
183,-0.034901
184,-0.040395
185,-0.034300
186,-0.031516
187,-0.029242
188,-0.026326
189,-0.033592
190,-0.032294
191,-0.035504
192,-0.034159
193,-0.034459
194,-0.035153
195,-0.034775
196,-0.035670
197,-0.032905
198,-0.027082
199,-0.039799
200,-0.039745
201,-0.038988
202,-0.037482
203,-0.038871
204,-0.042317
205,-0.037334
206,-0.034608
207,-0.037819
208,-0.038718
209,-0.038453
210,-0.036640
211,-0.034591
212,-0.033691
213,-0.035086
214,-0.032360
215,-0.035620
216,-0.031936
217,-0.039950
218,-0.040460
219,-0.040729
220,-0.039309
221,-0.037916
222,-0.040149
223,-0.045700
224,-0.041911
225,-0.042009
226,-0.039276
227,-0.042940
228,-0.043340
229,-0.040566
230,-0.041586
231,-0.045532
232,-0.047414
233,-0.046887
234,-0.046043
235,-0.049087
236,-0.044891
237,-0.049047
238,-0.055339
239,-0.052118
240,-0.057716
241,-0.053737
242,-0.051575
243,-0.053580
244,-0.051734
245,-0.053248
246,-0.056041
247,-0.046311
248,-0.051336
249,-0.050692
250,-0.053400
251,-0.044695
252,-0.048257
253,-0.048590
254,-0.050467
255,-0.045134
256,-0.052416
257,-0.050757
258,-0.051036
259,-0.051551
260,-0.050224
261,-0.054183
262,-0.050299
263,-0.049994
264,-0.052346
265,-0.047582
266,-0.051953
267,-0.049794
268,-0.047628
269,-0.049629
270,-0.054483
271,-0.051309
272,-0.058892
273,-0.057678
274,-0.057491
275,-0.058505
276,-0.055512
277,-0.056490
278,-0.052919
279,-0.049431
280,-0.056774
281,-0.047891
282,-0.044631
283,-0.053985
284,-0.048631
285,-0.046123
286,-0.049626
287,-0.045976
288,-0.047803
289,-0.046194
290,-0.042302
291,-0.046307
292,-0.043285
293,-0.044024
294,-0.046364
295,-0.048427
296,-0.047789
297,-0.041942
298,-0.040874
