Frame,Mean
0,0.004909
1,0.001986
2,0.008321
3,-0.002474
4,0.002816
5,-0.000457
6,0.002015
7,-0.000019
8,0.003724
9,0.001061
10,0.002896
11,-0.000303
12,0.003826
13,-0.002482
14,0.000907
15,-0.000885
16,0.004144
17,-0.005184
18,0.002073
19,0.011383
20,0.005608
21,0.005063
22,0.006829
23,0.000184
24,0.004788
25,-0.000380
26,-0.003251
27,0.006603
28,0.007449
29,0.002362
30,0.006913
31,0.008017
32,0.007917
33,0.007335
34,0.009627
35,0.015037
36,0.014987
37,0.008060
38,0.014772
39,0.008731
40,0.015760
41,0.009212
42,0.021783
43,0.019911
44,0.016931
45,0.018407
46,0.023031
47,0.014834
48,0.021180
49,0.023935
50,0.023950
51,0.019629
52,0.019603
53,0.022016
54,0.016873
55,0.025171
56,0.020904
57,0.028145
58,0.029614
59,0.026889
60,0.032769
61,0.030572
62,0.027940
63,0.031515
64,0.032145
65,0.026815
66,0.035965
67,0.035307
68,0.033553
69,0.040035
70,0.047281
71,0.035900
72,0.033951
73,0.034957
74,0.038062
75,0.041443
76,0.039554
77,0.047138
78,0.038531
79,0.041401
80,0.044715
81,0.042711
82,0.044502
83,0.048369
84,0.045714
85,0.046558
86,0.049966
87,0.054134
88,0.051871
89,0.054298
90,0.054882
91,0.061534
92,0.057855
93,0.057552
94,0.066332
95,0.065364
96,0.065686
97,0.059883
98,0.063553
99,0.063263
100,0.064119
101,0.059189
102,0.063369
103,0.068340
104,0.068363
105,0.070363
106,0.067544
107,0.071820
108,0.064670
109,0.070028
110,0.072019
111,0.069220
112,0.073137
113,0.066641
114,0.072303
115,0.066975
116,0.075482
117,0.073114
118,0.069206
119,0.072094
120,0.074605
121,0.075377
122,0.074123
123,0.079458
124,0.082367
125,0.081626
126,0.075690
127,0.076667
128,0.087840
129,0.073615
130,0.080308
131,0.080174
132,0.074912
133,0.086650
134,0.077604
135,0.085549
136,0.083152
137,0.078422
138,0.087646
139,0.091253
140,0.079097
141,0.099608
142,0.097205
143,0.082639
144,0.086128
145,0.088957
146,0.090903
147,0.092987
148,0.093249
149,0.091237
150,0.099681
151,0.094892
152,0.095000
153,0.095144
154,0.100489
155,0.095289
156,0.094677
157,0.098325
158,0.098082
159,0.101048
160,0.107614
161,0.104650
162,0.098254
163,0.102351
164,0.105176
165,0.105751
166,0.106189
167,0.104244
168,0.107812
169,0.108225
170,0.116276
171,0.110091
172,0.110673
173,0.110746
174,0.105743
175,0.106821
176,0.108010
177,0.107652
178,0.106350
179,0.116487
180,0.114589
181,0.113516
182,0.119834
183,0.118443
184,0.111777
185,0.118293
186,0.120092
187,0.117157
188,0.114825
189,0.114417
190,0.113618
191,0.123537
192,0.120247
193,0.120360
194,0.124502
195,0.118807
196,0.128621
197,0.118213
198,0.128708
199,0.127481
200,0.127902
201,0.127862
202,0.126560
203,0.133247
204,0.132862
205,0.128311
206,0.127611
207,0.133371
208,0.127940
209,0.135670
210,0.127654
211,0.128796
212,0.135108
213,0.127162
214,0.132838
215,0.129531
216,0.136463
217,0.123214
218,0.126531
219,0.134699
220,0.141456
221,0.132914
222,0.135670
223,0.134136
224,0.139471
225,0.133208
226,0.137551
227,0.135521
228,0.134777
229,0.133134
230,0.132041
231,0.136726
232,0.134307
233,0.134314
234,0.142946
235,0.154847
236,0.132845
237,0.135379
238,0.140079
239,0.147475
240,0.141576
241,0.136094
242,0.138569
243,0.147424
244,0.143008
245,0.139503
246,0.137310
247,0.137067
248,0.147765
249,0.134514
250,0.132277
251,0.131480
252,0.139114
253,0.135323
254,0.143532
255,0.135827
256,0.139898
257,0.141137
258,0.150095
259,0.129817
260,0.133532
261,0.134622
262,0.137981
263,0.142681
264,0.146276
265,0.130291
266,0.145504
267,0.145821
268,0.143757
269,0.146953
270,0.153160
271,0.144806
272,0.146116
273,0.137000
274,0.148516
275,0.150158
276,0.147319
277,0.146361
278,0.145463
279,0.150794
280,0.153853
281,0.145872
282,0.144837
283,0.144365
284,0.149854
285,0.148011
286,0.149591
287,0.150355
288,0.154401
289,0.154066
290,0.150870
291,0.152100
292,0.149381
293,0.151432
294,0.142788
295,0.147261
296,0.147145
297,0.145699
298,0.149852
299,0.144167
300,0.150095
301,0.147313
302,0.153689
303,0.155344
304,0.150935
305,0.156897
306,0.153485
307,0.156150
308,0.152513
309,0.158136
310,0.151929
311,0.149012
312,0.156817
313,0.156604
314,0.149118
315,0.152475
316,0.156209
317,0.149975
318,0.154669
319,0.153875
320,0.158927
321,0.167214
322,0.156829
323,0.157319
324,0.156087
325,0.152122
326,0.156182
327,0.151035
328,0.158981
329,0.162115
330,0.156984
331,0.155544
332,0.159406
333,0.164157
334,0.156099
335,0.161093
336,0.158354
337,0.162307
338,0.158562
339,0.164781
340,0.164929
341,0.162798
342,0.152821
343,0.153589
344,0.164185
345,0.167283
346,0.162852
347,0.164786
348,0.155940
349,0.159504
350,0.158313
351,0.157807
352,0.161209
353,0.159407
354,0.158498
355,0.162336
