Frame,Mean
0,0.002044
1,-0.001147
2,0.012262
3,0.014297
4,0.007132
5,0.004503
6,0.005517
7,0.006590
8,0.007436
9,-0.001488
10,-0.000692
11,0.000609
12,-0.008347
13,-0.007688
14,-0.007853
15,-0.007737
16,-0.001058
17,-0.003914
18,-0.008448
19,-0.002756
20,-0.008359
21,0.003362
22,-0.002463
23,-0.007786
24,-0.008481
25,-0.002837
26,-0.011249
27,-0.006183
28,-0.005393
29,0.001340
30,-0.010893
31,-0.012386
32,-0.012688
33,-0.018740
34,-0.022670
35,-0.021861
36,-0.023186
37,-0.015600
38,-0.025750
39,-0.023701
40,-0.020920
41,-0.019096
42,-0.012469
43,-0.016095
44,-0.020124
45,-0.017739
46,-0.008259
47,-0.015906
48,-0.017310
49,-0.020718
50,-0.018524
51,-0.014285
52,-0.023123
53,-0.022592
54,-0.023011
55,-0.030187
56,-0.020966
57,-0.028499
58,-0.035288
59,-0.024204
60,-0.030139
61,-0.031481
62,-0.029545
63,-0.026771
64,-0.032104
65,-0.033239
66,-0.028186
67,-0.038942
68,-0.042435
69,-0.040407
70,-0.039444
71,-0.040312
72,-0.038922
73,-0.040269
74,-0.047399
75,-0.041068
76,-0.037241
77,-0.044055
78,-0.031286
79,-0.034041
80,-0.034335
81,-0.037486
82,-0.035272
83,-0.037117
84,-0.033544
85,-0.038653
86,-0.038965
87,-0.038199
88,-0.041970
89,-0.042553
90,-0.052238
91,-0.052539
92,-0.049703
93,-0.048401
94,-0.061262
95,-0.057589
96,-0.056286
97,-0.055894
98,-0.053547
99,-0.054253
100,-0.062380
101,-0.057574
102,-0.054536
103,-0.056833
104,-0.059299
105,-0.059564
106,-0.056855
107,-0.057038
108,-0.058227
109,-0.060380
110,-0.060752
111,-0.065289
112,-0.065091
113,-0.067548
114,-0.064719
115,-0.072816
116,-0.071799
117,-0.072198
118,-0.074769
119,-0.070356
120,-0.072352
121,-0.074888
122,-0.071815
123,-0.069788
124,-0.079869
125,-0.073117
126,-0.068164
127,-0.074570
128,-0.081679
129,-0.072361
130,-0.079814
131,-0.074772
132,-0.071451
133,-0.081338
134,-0.072706
135,-0.079434
136,-0.079744
137,-0.079533
138,-0.084936
139,-0.087433
140,-0.083771
141,-0.082661
142,-0.083994
143,-0.088284
144,-0.078191
145,-0.084790
146,-0.081611
147,-0.082626
148,-0.082610
149,-0.080126
150,-0.077960
151,-0.082188
152,-0.076220
153,-0.080572
154,-0.086410
155,-0.084228
156,-0.082794
157,-0.077647
158,-0.087446
159,-0.087069
160,-0.089061
161,-0.095433
162,-0.094248
163,-0.094354
164,-0.090662
165,-0.089899
166,-0.093313
167,-0.081115
168,-0.091723
169,-0.087001
170,-0.090832
171,-0.084995
172,-0.090397
173,-0.088649
174,-0.088253
175,-0.086615
176,-0.087356
177,-0.095662
178,-0.090075
179,-0.086450
180,-0.094510
181,-0.093870
182,-0.094334
183,-0.091412
184,-0.085108
185,-0.090262
186,-0.092335
187,-0.091701
188,-0.095968
189,-0.097571
190,-0.092817
191,-0.091642
192,-0.095351
193,-0.093036
194,-0.088219
195,-0.098227
196,-0.096284
197,-0.099548
198,-0.099141
199,-0.101372
200,-0.095015
201,-0.097893
202,-0.098051
203,-0.098193
204,-0.100771
205,-0.112168
206,-0.101040
207,-0.107967
208,-0.102184
209,-0.100631
210,-0.102681
211,-0.102277
212,-0.106477
213,-0.109094
214,-0.104229
215,-0.104472
216,-0.102981
217,-0.110616
218,-0.109300
219,-0.105822
220,-0.112841
221,-0.103619
222,-0.108944
223,-0.107344
224,-0.101682
225,-0.107896
226,-0.110248
227,-0.117399
228,-0.116039
229,-0.109774
230,-0.121373
231,-0.119541
232,-0.117136
233,-0.116706
234,-0.114024
235,-0.112325
236,-0.110610
237,-0.115264
238,-0.118882
239,-0.111632
240,-0.114502
241,-0.114691
242,-0.114571
243,-0.115182
244,-0.118554
245,-0.114362
246,-0.113469
247,-0.119954
248,-0.116724
249,-0.119167
250,-0.120406
251,-0.119732
252,-0.121745
253,-0.120956
254,-0.113216
255,-0.117375
256,-0.116010
257,-0.122332
258,-0.120490
259,-0.123210
260,-0.117811
261,-0.116546
262,-0.123522
263,-0.117874
264,-0.114190
265,-0.120339
266,-0.122523
267,-0.116478
268,-0.122461
269,-0.117829
270,-0.126277
271,-0.117921
272,-0.120227
273,-0.123391
274,-0.122439
275,-0.116550
276,-0.116413
277,-0.128891
278,-0.123869
279,-0.124219
280,-0.122524
281,-0.123582
282,-0.118362
283,-0.111796
284,-0.124189
285,-0.120530
286,-0.129116
287,-0.123472
288,-0.124139
289,-0.124068
290,-0.131437
291,-0.127416
292,-0.125258
293,-0.128764
294,-0.135494
295,-0.125819
296,-0.137046
297,-0.133583
298,-0.134076
299,-0.134818
300,-0.127674
301,-0.133908
302,-0.126809
303,-0.135151
304,-0.130765
305,-0.128991
306,-0.124208
307,-0.133995
308,-0.128118
309,-0.124801
310,-0.135277
311,-0.128222
312,-0.123538
313,-0.133081
314,-0.131436
315,-0.132366
316,-0.139122
317,-0.140084
318,-0.141000
319,-0.132790
320,-0.142462
321,-0.138797
322,-0.143943
323,-0.142000
324,-0.147048
325,-0.140148
326,-0.135989
327,-0.139344
328,-0.141986
329,-0.140844
330,-0.137687
331,-0.140388
332,-0.137287
333,-0.138545
334,-0.142446
335,-0.138755
336,-0.136804
337,-0.142972
338,-0.139486
339,-0.149881
340,-0.147574
341,-0.143271
342,-0.148906
343,-0.145605
344,-0.146504
345,-0.139322
346,-0.148567
347,-0.146245
348,-0.141412
349,-0.138959
350,-0.146519
351,-0.147282
352,-0.145254
353,-0.143386
354,-0.146038
355,-0.147381
356,-0.145971
357,-0.143382
358,-0.146175
359,-0.151406
360,-0.155163
361,-0.151336
362,-0.151627
363,-0.158799
364,-0.154280
365,-0.148441
366,-0.146895
367,-0.151317
368,-0.153999
369,-0.148210
370,-0.139864
371,-0.145201
372,-0.144794
373,-0.145564
374,-0.144858
375,-0.134942
376,-0.143969
377,-0.148112
378,-0.147794
379,-0.146125
380,-0.142616
381,-0.140088
382,-0.145691
383,-0.144906
384,-0.140261
385,-0.147406
386,-0.144493
387,-0.150305
388,-0.157814
389,-0.142630
390,-0.149750
391,-0.149651
392,-0.151013
393,-0.147727
394,-0.147101
395,-0.150451
396,-0.150854
397,-0.147599
398,-0.151268
399,-0.150628
400,-0.148758
401,-0.154024
402,-0.146675
403,-0.156040
404,-0.148001
405,-0.151965
406,-0.149263
407,-0.154029
408,-0.148641
409,-0.154326
410,-0.159381
411,-0.156000
412,-0.154167
413,-0.155181
414,-0.160583
415,-0.156649
416,-0.153936
417,-0.162625
418,-0.160564
419,-0.154959
420,-0.155547
421,-0.157723
422,-0.157770
423,-0.159928
424,-0.162307
425,-0.156047
426,-0.153109
427,-0.158901
428,-0.159941
429,-0.157703
430,-0.160527
431,-0.157373
432,-0.164883
433,-0.159524
434,-0.162193
435,-0.172713
436,-0.164870
437,-0.167832
438,-0.164246
439,-0.166172
440,-0.171668
441,-0.169334
442,-0.169196
443,-0.169431
444,-0.166814
445,-0.170764
446,-0.164579
447,-0.169323
448,-0.168067
449,-0.166247
450,-0.169898
451,-0.168083
452,-0.165544
453,-0.167369
454,-0.165596
455,-0.166618
456,-0.166233
457,-0.174563
458,-0.172566
459,-0.173627
460,-0.167821
461,-0.172972
462,-0.166984
463,-0.166418
464,-0.169577
465,-0.166705
466,-0.167898
467,-0.167804
468,-0.165314
469,-0.173958
470,-0.168266
471,-0.161486
472,-0.166560
473,-0.161770
474,-0.163240
475,-0.171049
476,-0.157533
477,-0.168346
478,-0.173519
479,-0.172490
480,-0.168420
481,-0.166260
482,-0.168196
483,-0.169265
484,-0.162477
485,-0.165494
486,-0.168459
487,-0.168838
488,-0.171480
489,-0.170494
490,-0.174821
491,-0.165631
492,-0.167273
493,-0.173135
494,-0.164457
495,-0.172493
496,-0.171936
497,-0.168705
498,-0.162328
499,-0.177415
500,-0.166643
501,-0.169864
502,-0.167322
503,-0.167851
504,-0.168310
505,-0.168521
506,-0.166061
507,-0.169172
508,-0.163105
509,-0.168865
510,-0.169005
511,-0.174974
512,-0.174573
513,-0.169995
514,-0.176439
515,-0.168956
516,-0.168651
517,-0.166921
518,-0.167442
519,-0.166058
520,-0.169446
521,-0.163662
522,-0.164938
523,-0.170399
524,-0.164909
525,-0.164931
526,-0.167934
527,-0.169551
528,-0.164438
529,-0.170601
530,-0.163910
531,-0.166178
532,-0.166454
533,-0.162202
534,-0.171420
535,-0.171359
536,-0.170099
537,-0.171071
538,-0.172842
539,-0.171878
540,-0.170036
541,-0.164208
542,-0.162768
543,-0.166956
544,-0.164621
545,-0.163590
546,-0.160849
547,-0.170275
548,-0.168118
549,-0.161374
550,-0.160873
551,-0.158393
552,-0.168462
553,-0.166421
554,-0.168692
555,-0.159489
556,-0.167475
557,-0.167903
558,-0.169316
559,-0.168604
560,-0.164763
561,-0.163882
562,-0.172038
563,-0.170018
564,-0.174560
565,-0.170693
566,-0.162392
567,-0.166344
568,-0.170974
569,-0.165816
570,-0.164042
571,-0.169275
572,-0.164797
573,-0.162645
574,-0.167148
575,-0.163896
576,-0.164490
577,-0.165847
578,-0.167840
579,-0.170842
580,-0.163273
581,-0.163751
582,-0.163215
583,-0.171342
584,-0.163953
585,-0.173087
586,-0.169245
587,-0.164988
588,-0.163553
589,-0.165664
590,-0.167869
591,-0.169865
592,-0.165890
593,-0.169941
594,-0.165218
595,-0.166607
596,-0.159860
597,-0.164880
598,-0.164111
599,-0.166098
600,-0.161751
601,-0.160692
602,-0.164655
603,-0.162867
604,-0.168783
605,-0.168315
606,-0.165946
607,-0.168708
608,-0.169886
609,-0.164383
610,-0.170942
611,-0.165757
612,-0.167697
613,-0.157787
614,-0.167667
615,-0.166584
616,-0.166605
617,-0.167688
618,-0.166482
619,-0.160044
620,-0.165789
621,-0.167152
622,-0.169941
623,-0.163802
624,-0.163848
625,-0.166222
626,-0.167121
627,-0.165668
628,-0.163501
